English,Bangla,Marma,label
I can swim.,আমি সাঁতার কাটতে পারি,র্গু ঙা খেহো তেতি,ntr
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,আপা লেং যাচা,ntr
See you soon,শীঘ্রই আবার দেখা হবে,ক্যামে প্রেংব আতুই আয়ং,ntr
I am looking for a room.,আমি একটি রুম খুঁজছি,ঙা ত হ্রারে ত্দ,ntr
Can I eat this?,আমি কি এটা খেতে পারি?,ঙা ইচা ন্হেং হোলঃ?,ntr
I am looking for a job.,আমি একটি চাকরি খুঁজছি,ঙা ত্খূ অ্লূ,ntr
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,ইয়াস্রু নহইয়ক চুং চাখ্যা অকং ছ্ড়া,pos
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে খোওং হ্রুওয়ে,neg
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা ই খাঃলে মা আ্লু হীরে,ntr
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা,ntr
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু ঙন্যে হিলিরে,pos
You're so nice,আপনি খুব চমৎকার,আমা আ্স্যাক্যারে,pos
Have a nice trip.,আপনার যাত্রা শুভ হোক,কো রা্ক ফ্রলি,pos
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,নাং অওয়ে,ntr
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো রো ইংসা ইউব তখুমসা প্র,ntr
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা আটুই খেং নহেং হোলে?,ntr
This is not a joke,এটি তামাশা না,ইচা স্যইংচা,neg
Do you smoke?,তুমি কি ধুমপান কর,নাং সউতে ছুঁইলি ল?,ntr
Just a moment,শুধু একটা মুহূর্ত,ব্যা/ ত্ছংস্যে ত্খ্যাঃসে,ntr
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,কিজু ম্হ্রচা কিজুটাংরে,pos
You are so beautiful,আপনি খুব সুন্দর,কগং কো হ্লাবারে,pos
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,মো প্পপাং লি পয়াংব হ্লিরি,ntr
I am not a doctor.,আমি একজন ডাক্তার নই,ডা্কত ম্হক,ntr
That is very bad.,ওটা খুব খারাপ,য়াচা তিফিবাং,neg
Come and see me now,এসো এবং এখন আমাকে দেখতে,ঙা গো ক্রিজং ল্লে,ntr
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,য়াসু প্রচা ম্লুলি,neg
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু ছ্রামা/চাখ্যাসা ত্যঃ মা,ntr
Have a nice trip.,আপনার যাত্রা শুভ হোক,কো আকং রা্ক ফ্রলি,pos
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো ম্প্র চ্গা সি য়াং?,ntr
When do you study?,আপনি কখন পড়াশোনা করেন?,কো চা ফেটে লে,ntr
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,ইয়াসরু ত্লামা গেড়ে মনে অ্যালুলুকেহু,pos
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,ল লিজং লাহো নাং,ntr
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ইংমা নিং ল?,ntr
His face was still young.,তার মুখ তখনও তরুণ,য়াসু য়্খালে ম্যাঙন্হা আ্ম,ntr
It's so cheap,এটা খুব সস্তা,ইচা এর্মা,ntr
You don't understand me,তুমি আমাকে বোঝো না,নং ঙাগো,ntr
Do you understand?,তুমি কি বুঝতে পেরেছো?,নাং? ল নালেরি,ntr
Do you love me?,তুমি কি আমাকে ভালোবাসো?,নাং গো ক্রতে ল?,pos
She didn't speak.,তিনি কথা বলেননি,য়াসু ম্প্রলি চাগা,ntr
Don't worry.,কোন চিন্তা করো না,নাং ম্ছাগ্যে,pos
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,কো ঙাগো ত্খ্যাক্ ন্হেং হো ল?,pos
Don't worry.,কোন চিন্তা করো না,ওউই নাং ম্ছাগ্যে,pos
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কোগো কিজু কিজুতাংবারে,pos
I am very happy.,আমি অত্যন্ত খুশি,ঙা প্য় রেয়,pos
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,আ্কুংজুং কিজুতাংরে কিজু,pos
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ মা ই চাক্উঃ লু ল? হো,ntr
Are you going?,তুমি কি যাচ্ছ?,লারেয় নাং ব্যা ল,ntr
He praised him.,সে তাকে তারিফ করেছিল,য়াসু অ্কং প্রবঃয়ে,pos
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র ইংমা নিংড়ে,ntr
I can swim.,আমি সাঁতার কাটতে পারি,র্গু খেহো তেতি,ntr
I am a vegetarian.,আমি একজন নিরামিষভোজী,হাংম্রু মাচা,ntr
It's so cheap,এটা খুব সস্তা,ইচা এর্মা,ntr
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা নিং চি বে,pos
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ বাবা নেংমা হিরে,ntr
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,নাং আস্যা ছেংবাং ল্হেংরে লে?,ntr
I am very happy.,আমি অত্যন্ত খুশি,ঙা প্য় আমা রেয়,pos
They stopped talking,তাদের কথা বলা বন্ধ,মা য়াসু চ্গা তুংব্যা,neg
Have a good time.,একটি ভাল সময় আছে,হিরে আকং আখ্যিং ট্খু্ক,pos
I don't agree with you,আমি আপনার সাথে একমত নই,লা কো ঙা চ্গা ত্খৈং ম্হক্,neg
It's so cheap,এটা খুব সস্তা,আঁটেং এর্মা ইচা,ntr
I am always busy.,আমি সব সময় ব্যস্ত থাকি,খ্যাংখাফ্র ঙা অ্লুমা নিংরে,ntr
This is my friend,এই আমার বন্ধু,আফাসা ঙা ইচা,pos
I am not a teacher.,আমি একজন শিক্ষক নই,ত্যউ চা খ্যাসা ম্হ,ntr
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,কো আলাউগ পি,pos
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে,pos
Where are you from?,তুমি কোথা থেকে আসছো,লেটে আ্চগা নাং লে?,ntr
The house is very small.,বাড়িটা খুব ছোট,ইং অফওয়াশে এরমা,ntr
I love you.,আমি তোমায় ভালোবাসি,নাক্ কো ক্রতে,pos
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ আফা/ হিরে নেংমা বাবা,ntr
I don't speak very well.,আমি খুব ভাল কথা বলি না,মপ্র আকোং চ্গা ঙা,neg
It's so cheap,এটা খুব সস্তা,ইচা আঁটেং,ntr
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা যখা আটুই খেং হোলে?,ntr
She started running.,সে দৌড়াতে শুরু করল,ব্রিইহো য়াসু চাঃব্যা,ntr
Please give me the bill,দয়া করে বিল দিন।,পিন্হেং ট্খ্যা বিল হুলো?,pos
I am busy with my homework.,আমি আমার বাড়ির কাজ নিয়ে ব্যস্ত,ঙা ইংমা অ্গো,ntr
I can run.,আমি চালাতে সক্ষম,ঙা সালে রেয়,ntr
Let me check.,যাচাই করতে দাও,ক্রিহো পি,ntr
I can't hear you.,আমি তোমাকে শুনতে পাচ্ছি না,ঙা প্রচাগো নাাং ম্ক্রা,ntr
I am lost,আমি হারিয়ে গিয়েছি।,ঙা ফাব্যা,neg
I am not a teacher.,আমি একজন শিক্ষক নই,ঙা ত্যউ খ্যাসা ম্হ,ntr
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে,pos
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ঙা অ্মঃ ন্হেং ব্রি রে,ntr
I am not a teacher.,আমি একজন শিক্ষক নই,ঙা চা খ্যাসা ম্হ,ntr
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,নাং ওয়েব্যল অওয়ে,ntr
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা আটুই খেং নহেং হোলে?,ntr
Will it rain today?,আজ কি বৃষ্টি হবে?,গ্নি ওয়রাহলঃ মোঃ,ntr
How do you get to school?,তুমি কিভাবে স্কুলে আস?,চাক্যং ম্জং প্যাংব নাং দো লেটে লে?,ntr
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,ঙা ঙা সা কিজু ঠংব নিং রে,pos
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কিজু জালেরে কোগো খোওং হ্রুওয়ে,neg
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু ম্রাং য়াসু ছুই আথাউমা খুংব,ntr
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,মা ঙা ছেংবাং এর্মা হ্রীব্যা,ntr
See you tomorrow,আগামীকাল দেখা হবে,ফ্রেং ন্হাক্ আতুই ক্যামে,ntr
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু ঙাগো ল? হব্যা সেব্ল,neg
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,আলু প্রচা য়াসু ম্লুলি,neg
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা আস্যা ক্রাব লেটেলে?,ntr
I'm not bothering you,আমি তোমাকে বিরক্ত করছি না,কো নাক্ ঙা ম্জালে,pos
Are you crazy?,তুমি কি পাগল?,নাং ল আরোউ,neg
We need some money,আমাদের কিছু টাকা দরকার,ঙ্গমা তে্কে লুরে,ntr
His face was still young.,তার মুখ তখনও তরুণ,ম্যাঙন্হা য়াসু য়্খালে আ্ম,ntr
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ইংমা নিং ল?,ntr
What can I say?,আমি কি বলতে পারি?,ঙা ন্হেং হোলঃ?,ntr
I miss you.,আমার আপনাকে মনে পরছে,তোওড়ারেয় কোগো ঙা,neg
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,চ্গা ম্প্র সি য়াং?,ntr
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,ঙা মা ছেংবাং হ্রীব্যা এর্মা,ntr
I am taller than you.,আমি আপনার চাইতে লম্বা,ঙা হ্রিরে,ntr
I am going to study.,আমি পড়াশোনা করতে যাচ্ছি,চা ফেচং লারেয়,ntr
Will you come here?,তুমি কি এখানে আসবে,ইদু লেহো ল?,ntr
There was no one there,সেখানে কেউ ছিল না,মিহিলি ত্যক্পাং য়াদে,neg
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু ছ্রামা/চাখ্যাসা মা,ntr
Are you serious?,তুমি কি সিরিয়াস?,নাং ল? আম্হেং,neg
His shoes are red.,তার জুতা লাল,য়াসু র্রে ফ্নেং,ntr
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা মা ঙা হিগ্যি টেঙা লিসউ ওউইন্হেং লি হো,ntr
Where are you from?,তুমি কোথা থেকে আসছো,আ্চগা লেটে লে?,ntr
My father is tall.,আমার বাবা লম্বা,আ্হ্রিঠং বাবা ঙো,ntr
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,য়াসু ইংমাউ আকং,pos
Can I open the door?,আমি কি দরজা খুলতে পারি?,তৈংখা ঙা ল্হন্হেং হ ল?,ntr
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,নাং ইচা কোমাকো য়াং লোচা,ntr
I don't understand,আমি বুঝতে পারছি না।,ঙা ম্নালে,ntr
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,য়াসু ত থা ঙাচা ন্হপ্রেং সেংরে,ntr
It's nice to meet you,তোমার সাথে দেখা করে ভালো লাগলো,কংহারে লা আতুই খেংব নাং,pos
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,গো ঙা নাং ক্রোতি ল ম্ক্র ল,pos
Thank you very much,তোমাকে অনেক ধন্যবাদ,নাক্ কো আ্মা রে,pos
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ,ntr
That is very bad.,ওটা খুব খারাপ,য়াচা ম্কং,neg
Just a moment,শুধু একটা মুহূর্ত,ব্যা/ ত্ছংস্যে ত্খ্যাঃসে,ntr
It really takes time.,এটা সত্যিই সময় লাগে,অ্কংকং ইচা আখ্যিং লুরেয়,ntr
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,কোগো ঙা জালেরে কিজু খোওং হ্রুওয়ে,neg
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,কো য়ুব য়াছাগো ত্খুমসা সিক্ড়ি ল,ntr
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,কিজু প্যাংহো আওকং এর্মা সমস্যা হীরে,neg
They have some books,তাদের কিছু বই আছে,মা চাঊঃ ল্য়ংক্খো হিরি,ntr
I have no idea,আমার কোন ধারণা নাই,ত্খোবাং মি্সি,neg
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,ম্যা য়াসু ঙা আফা্কসা,pos
It was a very big room,এটি একটি খুব বড় রুম ছিল,য়াচা এর্মা আ্সেং ত হিলিরে,ntr
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,নাং ঙা চাগা ক্রারেয়,ntr
Can I eat this?,আমি কি এটা খেতে পারি?,ঙা ইচা চা হোলঃ?,ntr
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা গো মেং তাউতে,neg
I don't like it,আমি এটা পছন্দ করি না,মা্সায়া ঙা ইচা,neg
This story is true,এই গল্প সত্য,ইচা আ্কং,pos
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ,ntr
This bird can't fly,এই পাখি উড়তে পারে না,ন্হাক্ ই ম্প্যেংন্হেং,ntr
His house is very tall.,তার বাড়ি অনেক লম্বা,ইং এরমা আহ্রি,ntr
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং আচাস্যা গ্নি ন্গ্যবলে?,neg
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,ই পুখ্যিংমা প্য,pos
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা মা টেঙা হিগ্যি ঙা হো ওউইন্হেং লি লিসউ,ntr
I am a student.,আমি একজন ছাত্র,ঙা ফেসা চা ত্য,ntr
His family is very big.,তার পরিবার অনেক বড়,এরমা ইংসা য়াস্রো আগ্রি,ntr
Will you teach me?,তুমি কি আমাকে শেখাবে?,ঙা গো সাং হো ল?,ntr
What was the word for?,শব্দটা কিসের ছিল?,আ্চা আ্সেং লে?,ntr
I am busy with my homework.,আমি আমার বাড়ির কাজ নিয়ে ব্যস্ত,ঙা অ্গো আলুমা ইংমা,ntr
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা ব ত্খুবাং মিহি,pos
Have you finished work?,তুমি কি কাজ শেষ করেছ?,মা নাং অলু টুংগব্যায়াং?,ntr
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,প্রহো ইংচা নাং তেংহো ল,neg
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অ্কংকং,neg
Where do you want to go?,আপনি কোথায় যেতে চান?,কো রে লাখ্যাং আদো লে?,pos
It was nice to meet you,তোমার সাথে দেখা হয়ে ভালো লাগলো।,না্ক লে আতুই কং হারে,pos
This bird can't fly,এই পাখি উড়তে পারে না,ন্হাক্ ই ম্প্যেংন্হেং,ntr
I can't come.,আমি আসতে পারব না,ঙা ঙা লেহো ম্নংই,ntr
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নারেলে মা আডে নাগ,neg
Where do you want to go?,আপনি কোথায় যেতে চান?,কো আদো লাখ্যাং লে? রে,pos
Will he come?,সে কি আসবে?,য়া সু লেহুঁ,ntr
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ঙা রে ব্রি ন্হেং অ্মঃ,ntr
Whose idea is this?,এটা কার ধারণা?,আসু ত্য়ওচা লে,ntr
I am always busy.,আমি সব সময় ব্যস্ত থাকি,ঙা অ্লুমা নিংরে,ntr
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,য়াসু ত থা ন্হপ্রেং সেংরে,ntr
Do you love me?,তুমি কি আমাকে ভালোবাসো?,নাং ঙা ক্রতে গো ল?,pos
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা ন্হেং,pos
This is my brother,এই আমার ভাই,ঙা আকোসে/ন্ঙ্যিং,ntr
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,আম্যা খা্গটেলে,ntr
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং আতুই ক্যামে,ntr
Are you serious?,তুমি কি সিরিয়াস?,নাং ল?,neg
This river is beautiful,এই নদী সুন্দর,হ্লারে খ্যং ই,pos
I hate you.,আমি আপনাকে ঘৃণা করি,ঙা মুংরে কোগো,neg
It's a long story.,এটি একটি দীর্ঘ গল্প,ওয়েথু ত্খু অ্হ্রিথং ইচা,ntr
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,যাচা আম্যা,ntr
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ অ্কংকং কো অউমিংরে,neg
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং আস্যা তাউরে লে?,neg
How can I help you?,আমি কীভাবে তোমাকে সাহায্য করতে পারি?,ঙা নাকো মজং প্যাংবো হোলে? কুনহেং,pos
Did you take a shower?,তুমি কি গোসল করেছ?,নাং রি য়াং? খ্যুব্যা,ntr
Will he come?,সে কি আসবে?,লেহুঁ সু য়া ল,ntr
I am angry with him.,আমি তার সাথে রাগান্বিত,গো য়াসু ঙা মেং তাউতে,neg
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং ঙা গো হো ল?,pos
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,এসেই প্র,pos
Have you finished work?,তুমি কি কাজ শেষ করেছ?,মা নাং অলু টুংগব্যায়াং?,ntr
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আখ্যিং হিরে,pos
Her eyes were blue.,তার চোখ নীল,য়াসু ম্ক্রযাচি ক্রোং মা,ntr
Do you need anything?,তোমার কোন কিছু দরকার?,নাক্ মা ত্খুক্ ম্সা হো ল?,ntr
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে কিজু খোওং,neg
Are you serious?,তুমি কি সিরিয়াস?,ল? আম্হেং নাং,neg
I am a vegetarian.,আমি একজন নিরামিষভোজী,হাংম্রু ঙা মাচা,ntr
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,ম্রাং য়াসু ছুই আথাউমা খুংব তাউরে,ntr
Come with your family,আপনার পরিবারের সাথে আসুন,কো ইংসা লা,ntr
Can you tell me?,আপনি কি আমাকে বলতে পারেন?,কো ল? গো ফ্র ন্হেংরেয় ঙা,ntr
Will you dance with me?,তুমি কি আমার সাথে নাচবে?,নাং কাহোল?,ntr
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ,ntr
What is your destination?,আপনার গন্তব্য কি?,কো আদো লারে,ntr
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,আহ্লামা জামালেই?,pos
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,সি চ্গা ম্প্র কো য়াং?,ntr
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,ল? আগু লে সৌ রারে সাগ্রী,ntr
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা গো মেং তাউতে,neg
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মু ছুগ্যে, ঙো মু চু্ওয়েকেহো ব্যা",ntr
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ইচা ত্খোঃ আ্কং,pos
It was really cheap.,এটা সত্যিই সস্তা ছিল,অ্কংকং এ্তেং হিলিরে,ntr
I have no idea,আমার কোন ধারণা নাই,ঙা ত্খোবাং,neg
When did it end?,এটা কখন শেষ হয়েছিল?,ইচা জা্খা টুংলি রে,ntr
It really takes time.,এটা সত্যিই সময় লাগে,ইচা অ্কংকং লুরেয় আখ্যিং,ntr
They hit.,তারা আঘাত করেছিল,লে? বুড়েয় আসু,ntr
See you next year,সামনের বছর দেখা হবে,লেমে ন্হক্ মা ক্যামে,ntr
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,ই্য়াগসু প্ররিল আচা প্যাংরা হোলে,ntr
We cook every day,আমরা প্রতিদিন রান্না করি,নিংদৈং ঙো খ্যাক্ তে,ntr
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো ন্হেং লা আগো হো ব্যালঃ,pos
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা ক্যুং কো না্ক রে,pos
What was the word for?,শব্দটা কিসের ছিল?,য়াচা আ্চা আ্সেং,ntr
You are so beautiful,আপনি খুব সুন্দর,কো হ্লাবারে কগং,pos
Are you hungry?,তুমি কী ক্ষুধার্ত?,মওয়ে্প ল?,ntr
Have you eaten?,তুমি কি খেয়েছ?,নাং চা ল? ব্যা,ntr
Can she run fast?,সে দ্রুত দৌড়াতে পারে,য়াসু অম্ ব্রি রেয়,ntr
I can't stop.,আমি থামতে পারি না,ঙা টেংহো,pos
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো ইচাগো য়ুব ছাংখ্রাহো,ntr
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা ঙো দ দ য়ুব আ্মা প্যরে,pos
How do you get to school?,তুমি কিভাবে স্কুলে আস?,নাং ম্জং প্যাংব লেটে দো চাক্যং লে?,ntr
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আখ্যিং আহ্লা হিরে,pos
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,মা টেঙা হিগ্যি ঙা লিসউ ওউইন্হেং লি হো,ntr
Come with your family,আপনার পরিবারের সাথে আসুন,কো লা ল্লে,ntr
I am fine.,আমি ভালো আছি,ঙা হিরি,pos
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,নাং ঙাগো তুইরে,ntr
He agreed with me,তিনি আমার সাথে একমত,য়াসু তখৈংব্যা চ্গা ঙালা,pos
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো রো ইংসা প্র ইউব তখুমসা গো,ntr
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,ঙা মা ছেংবাং হ্রীব্যা এর্মা,ntr
This river is beautiful,এই নদী সুন্দর,খ্যং ই হ্লারে,pos
I am always busy.,আমি সব সময় ব্যস্ত থাকি,অ্লুমা খ্যাংখাফ্র ঙা নিংরে,ntr
I can't stop.,আমি থামতে পারি না,ঙা টেংহো,pos
I don't speak very well.,আমি খুব ভাল কথা বলি না,আকোং ঙা চ্গা মপ্র,neg
My sister has a job.,আমার বোনের চাকরি আছে,ঙো মিমি মা হিঃরে সাগ্রি,ntr
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,নাং ইচা কোমাকো য়াং,ntr
I am a vegetarian.,আমি একজন নিরামিষভোজী,ঙা মাচা হাংম্রু,ntr
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং য়াসু মা চ্গা ফ্ররে,pos
When was he born?,সে কখন জন্মেছিল?,য়াসু লে? মুইংরে জা্খা,ntr
Are you serious?,তুমি কি সিরিয়াস?,নাং আম্হেং,neg
There was no one there,সেখানে কেউ ছিল না,ত্যক্পাং য়াদে মিহিলি,neg
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,ঙা থি কোগো ন্হেং হোলঃ?,pos
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু ঙন্যে হিলিরে,pos
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,কোমাকো ইচা নাং লোচা য়াং,ntr
His brother is patient.,তার ভাই ধৈর্যশীল,য়াসু আকোসি সিখেং ন্হেং রে,ntr
Will you teach me?,তুমি কি আমাকে শেখাবে?,ঙা গো সাং হো ল?,ntr
I am lost,আমি হারিয়ে গিয়েছি।,ঙা ফাব্যা,neg
Can I open the door?,আমি কি দরজা খুলতে পারি?,হ তৈংখা ল্হন্হেং ঙা ল?,ntr
This story is true,এই গল্প সত্য,আ্কং ইচা ওয়েঠু,pos
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে খোওং কিজু হ্রুওয়ে,neg
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,আমা স্দি ফ্রোরাহু,pos
I am in love.,আমি প্রেমে পড়েছি,চুই মা আখ্য,pos
Have a nice time.,একটি সুন্দর সময় আছে,আহ্লা আখ্যিং হিরে,pos
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ মা চাক্উঃ লু হো ল?,ntr
Have a nice trip.,আপনার যাত্রা শুভ হোক,কো আকং ফ্রলি,pos
It's so cheap,এটা খুব সস্তা,এর্মা আঁটেং,ntr
We can change,আমরা পরিবর্তন করতে পারি,ল্হি ন্হেং রে,ntr
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্রাংরা রে ব্যা।,pos
Are you going?,তুমি কি যাচ্ছ?,নাং ব্যা লারেয় ল,ntr
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো লা ত্খৈং ম্হক্,neg
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,অওয়ে ওয়েব্যল,ntr
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,নাং চাগা ঙা ক্রারেয় ল?,ntr
His mother was strict.,তার মা কঠোর ছিল,য়াসু অ্মি,ntr
I'm crazy with you.,আমি তোমার সাথে পাগল,নাক্ লা ব রুউরে,neg
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা দ দ গো য়ুব আ্মা প্যরে,pos
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,ই্য়াগসু প্ররিল না্গকো আচা প্যাংরা,ntr
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক নিং বে চি,pos
"No, I will eat later.","না, আমি পরে খাব","ঙা ইন্হি, নঃউকা চাহো",neg
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু ররেখে আ্ফা ম্রাং রে,pos
She was brave.,তিনি সাহসী ছিল,ম্ক্র ম্লেং হিঃরেলেয়,pos
Can you tell me?,আপনি কি আমাকে বলতে পারেন?,কো ঙা গো ফ্র ন্হেংরেয়,ntr
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,ইয়াসরু ত্লামা অ্যালুলুকেহু গেড়ে,pos
They got married,তারা বিয়ে করেছে,য়াস্রো ম্জেকেব্যা,ntr
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,মা আডে নারেলে,neg
"No, I will eat later.","না, আমি পরে খাব","নঃউকা ঙা ইন্হি, চাহো",neg
Please go to school.,অনুগ্রহ করে স্কুলে যান,দু ক্যাং চা লালি,pos
What are you doing today?,তুমি আজ কি করছ?,নাং গি্নি আ্চ্যা,ntr
Will it rain today?,আজ কি বৃষ্টি হবে?,গ্নি মোঃ,ntr
Please do that again.,দয়া করে সেটা আবার করুন,ত্খ্যাঃ অরঃ ত্ব্রেং প্যাংলঃ মে,pos
He praised him.,সে তাকে তারিফ করেছিল,ঠুসুগো অ্কং প্রবঃয়ে,pos
