English,Bangla,Marma
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো ইচাগো য়ুব পি ছাংখ্রাহো
I can't come.,আমি আসতে পারব না,ঙা ম্লেন্হেং/ ঙা ম্নংই
She didn't speak.,তিনি কথা বলেননি,য়াসু ম্প্রলি
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা ঙো দ য়ুব গো দ আ্মা প্যরে
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আখ্যিং হিরে
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো ত্খৈং চ্গা লা ম্হক্
There was no one there,সেখানে কেউ ছিল না,ত্যক্পাং মিহিলি
Why are you late?,তোমার দেরী হল কেন?,আস্যা নাং ক্রাফালে?
I have no idea,আমার কোন ধারণা নাই,ত্খোবাং ঙা মি্সি
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,এসেএওয়ব্যে ঙাখ্ক ইলামা ফ্রকেরে
I don't understand,আমি বুঝতে পারছি না।,ঙা ম্নালে
His house is very tall.,তার বাড়ি অনেক লম্বা,য়াসু আহ্রি এরমা ইং
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা রেব্যা
They have some books,তাদের কিছু বই আছে,মা য়াস্রোু চাঊঃ ল্য়ংক্খো হিরি
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু ররেখে ম্রাং রে
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,ইয়াউসু বাস মা ল ট্রন মা
Do you live here?,তুমি কি এখানে থাকো?,নাং ইংদেমা য়াং?
This decision is final,এই সিদ্ধান্ত চূড়ান্ত,ইচা চা্গা আটুং
Don't worry.,কোন চিন্তা করো না,ওউই নাং ম্ছাগ্যে
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা ন্হেং
Will you come here?,তুমি কি এখানে আসবে,নাং ইদু লেহো
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?
I am in love.,আমি প্রেমে পড়েছি,রউরে মা আখ্য চুই
Come with your family,আপনার পরিবারের সাথে আসুন,কো ইংসা লা
Are you serious?,তুমি কি সিরিয়াস?,আম্হেং ল?
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা
When was he born?,সে কখন জন্মেছিল?,মুইংরে জা্খা য়াসু লে?
Just a moment,শুধু একটা মুহূর্ত,ত্ছংস্যে ত্খ্যাঃসে
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
Have you eaten?,তুমি কি খেয়েছ?,নাং ব্যা ল?
You are so brave,আপনি খুব সাহসী,নাং ত্ফি ম্ক্রক্
Do you love me?,তুমি কি আমাকে ভালোবাসো?,নাং ঙা গো ক্রতে
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,অওয়ে নাং ওয়েব্যল
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্যাকন্হামা ম্রাংরা ব্যা।
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে আহ্লা ম্রাং ল? টি ল
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং আতুই প্রেংব ক্যামে
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু ম্রাং ছুই আথাউমা খুংব তাউরে
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
Have a nice day.,আপনার দিনটি শুভ হোক,কো আকং ফ্রলি
No one was in the garden,বাগানে কেউ ছিল না,য়ইং মা মিহিলিই
This is my book,এটা আমার বই,ঊঃ ঙা চা ইচা
His voice was soft.,তার কণ্ঠ নরম ছিল,য়াসু ঙন্যে আসেং
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ত্খ্যাঃ পি
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ বাবা আফা/ নেংমা হিরে
They praise each other,তারা একে অপরের প্রশংসা করে,ইয়াস্রু ত্যক্কো আকং প্রগেতে
I can't stop.,আমি থামতে পারি না,ম্টে টেংহো ঙা
Can you come?,তুমি কি আসতে পারবে?,লেনহেং নাং হোলঃ?
I can swim.,আমি সাঁতার কাটতে পারি,ঙা র্গু তেতি খেহো
Can I eat this?,আমি কি এটা খেতে পারি?,ঙা ইচা ন্হেং চা হোলঃ?
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,ইয়াস্রু নহইয়ক অকং চাখ্যা ছ্ড়া
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,ল? আগু লে সৌ রারে সাগ্রী
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,কিজুটাংরে কিজু ম্হ্রচা
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,কিজু ম্হ্রচা কিজুটাংরে
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,ই্য়াগসু প্ররিল আচা না্গকো প্যাংরা হোলে
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে
The dog is dead,কুকুরটি মারা গেছে,য়া সিই ফাব্যা
Let me see.,আমাকে দেখতে দাও,গো ক্রিহো পি
She was brave.,তিনি সাহসী ছিল,ম্ক্র ম্লেং হিঃরেলেয়
Can I eat this?,আমি কি এটা খেতে পারি?,ঙা চা ন্হেং হোলঃ?
Have a nice day!,একটি ভালো দিন কাটুক!,বে আহ্লাপা নিং ত্রা্ক চি
Do you need anything?,তোমার কোন কিছু দরকার?,নাক্ মা ত্খুক্ লু হো ল?
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,মো লি পয়াংব প্পপাং হ্লিরি
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু হা্কচা রিখ্যং ফুওয়ে
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা বে চি
I am happy to see you.,তোমাকে দেখে খুসি হলাম,ঙা ক্রিব না্ককো আ্মা হাউরে
Do you want to come?,তুমি কি আসতে চাও?,ল? লেখ্যাংরে নাং
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং প্রেংব ক্যামে আতুই
This is my book,এটা আমার বই,ইচা ঙা চা
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ছাংখ্রাহো ইচাগো য়ুব ঙাগো পি
You're so nice,আপনি খুব চমৎকার,আমা আ্স্যাক্যারে
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,নাং ঙা চাগা ক্রারেয়
I am not a doctor.,আমি একজন ডাক্তার নই,ঙা ম্হক ডা্কত
I am not a doctor.,আমি একজন ডাক্তার নই,ডা্কত ম্হক
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,রে ঙা সা কিজু ম্যান্হা ঠংব নিং ঙা
Who built that?,ঐটা কে নির্মাণ করেছিলো?,ইচা লুচা লেই?
I am very happy.,আমি অত্যন্ত খুশি,আমা ঙা প্য় রেয়
I can't come.,আমি আসতে পারব না,লেহো ম্লেন্হেং/ ঙা ঙা ম্নংই
I am looking for a job.,আমি একটি চাকরি খুঁজছি,ঙা ত্খূ হ্রারে অ্লূ
Have you finished work?,তুমি কি কাজ শেষ করেছ?,নাং মা অলু
Don't talk about work,কাজের কথা বলবেন না,অ্লু ম্প্রগ্যে
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,কো য়ুব ত্খুমসা সিক্ড়ি ল
Have a nice day.,আপনার দিনটি শুভ হোক,রা্ক আকং ফ্রলি
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং প্রহো তেংহো ল
Will it rain today?,আজ কি বৃষ্টি হবে?,মোঃ ওয়রাহলঃ
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে কিজু হ্রুওয়ে
You made me happy,তুমি আমাকে খুশি করেছো,নাং ঙা অপ্য পিরে
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা না্ক কো রে
I am taller than you.,আমি আপনার চাইতে লম্বা,হ্রিরে কোস্থা ঙা
I can run.,আমি চালাতে সক্ষম,ঙা সালে রেয় ন্হেং
Will you dance with me?,তুমি কি আমার সাথে নাচবে?,নাং কাহোল? ঙালা
The house is very small.,বাড়িটা খুব ছোট,এরমা অফওয়াশে
We cook every day,আমরা প্রতিদিন রান্না করি,তে নিংদৈং খ্যাক্ ঙো
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আকং হিরে আখ্যিং
Do you live here?,তুমি কি এখানে থাকো?,নাং নিংরে ইংদেমা য়াং?
There was no one there,সেখানে কেউ ছিল না,ত্যক্পাং য়াদে মিহিলি
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,গ্নি আচাস্যা ন্গ্যবলে?
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং গো ক্র হো ল?
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,ম্রাং তিমি কো ব্যা ল?
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,কো ইচা কোমাকো প্যাং চা
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আকং হিরে
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং গ্নি ন্গ্যবলে? আচাস্যা
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কোগো কিজু কিজুতাংবারে
Did you take a shower?,তুমি কি গোসল করেছ?,নাং রি খ্যুব্যা
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,কো আলাউগ তখ্যাগ
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,আহ্লামা জামালেই?
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,ম্যা ছিক্রিসামা/ডাওঃতমা
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,নাং রোমা রোনা ইংসা ম্জং লে?
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা ঙাখ্ক ফ্রকেরে
He avoided me.,সে আমাকে এড়িয়ে চলে,ঙাগো য়াসুু ম্রাং প্যাংব লারে
That is very bad.,ওটা খুব খারাপ,ম্কং তিফিবাং য়াচা
His brother is patient.,তার ভাই ধৈর্যশীল,য়াসু আকোসি সিখেং ন্হেং রে
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো আগো ব্যালঃ ন্হেং হো লা
My father is in his room.,আমার বাবা তার রুমে আছেন,অফা/ আফা/ বাবা নেংমা হিরে
I am counting on you.,আমি তোমার উপর নির্ভর করছি,ঙা সিরিব্যা না্গকোরা
This is not a joke,এটি তামাশা না,স্যইংচা ম্হক্
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,আ্কুংজুং কিজুতাংরে
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো ম্জং প্য়াংব কোওন্হেং
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,ঙো আমা ফ্রোরাহু
His house is very tall.,তার বাড়ি অনেক লম্বা,য়াসু এরমা আহ্রি
His smile was funny.,তার হাসি হাস্যকর ছিল,হা্কচা আ্মা রিখ্যং ফুওয়ে
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,গ্নি আচাস্যা ন্গ্যবলে?
Are you feeling better?,আপনি ভাল অনুভব করছেন?,মা কং রে তুইরে ল?
I can run.,আমি চালাতে সক্ষম,সালে ঙা ন্হেং রেয়
That's my book.,যে আমার বই,ঙা চা ঊঃ
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মু রু্ওয়ারে ছুগ্যে, চু্ওয়েকেহো মু ঙো ব্যা"
We need some money,আমাদের কিছু টাকা দরকার,ঙ্গমা টেঙা তে্কে
I am taller than you.,আমি আপনার চাইতে লম্বা,ঙা হ্রিরে
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,কিজু কোগো কিজুতাংবারে
Please give it to me.,দয়া করে আমাকে দিন,ত্খ্যাঃ ঙাগো পি
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,অওয়ে ওয়েব্যল
Are you going?,তুমি কি যাচ্ছ?,নাং লারেয় ব্যা
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ম্রাং ব
Have a lot of money,অনেক টাকা আছে,এর্মা হীরে টেঙা
I have no idea,আমার কোন ধারণা নাই,ঙা মি্সি ত্খোবাং
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,ঙো ফ্রোরাহু স্দি আমা
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,কোমাকো ইচা নাং লোচা য়াং
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,কো তিমি ম্রাং ল?
It's nice to see you,তোমাকে দেখে ভাল লাগলো,কো নাক্ ম্রাং ব প্যহারে
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,ঙা ঙা সা কিজু ম্যান্হা ঠংব রে
It was a very big room,এটি একটি খুব বড় রুম ছিল,এর্মা ত আ্সেং হিলিরে
His wife is Indian.,তার স্ত্রী ভারতীয়,য়াসু ম্যা খংড
How much will it cost?,এটা কত খরচ হবে?,ম্নহ ইচা খ্র ফ্রহুলে?
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ঙাগো পি
Have you eaten?,তুমি কি খেয়েছ?,নাং চা ল? ব্যা
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,কোমা জ্খা তুংরে লে?
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ঙা রে ব্রি ন্হেং অ্মঃ
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা নাঃকো হোলঃ? নুইং কুহু
Have a nice day!,একটি ভালো দিন কাটুক!,আহ্লাপা নিং বে চি
See you tomorrow,আগামীকাল দেখা হবে,ক্যামে ফ্রেং আতুই ন্হাক্
They are both in the room.,তারা দুজনেই রুমে আছে,ইয়াশ্রু ন্হয়চঙং মা ত হিরে
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,ঙা নাগকো টখও মিং ন্হেং হো
Are you serious?,তুমি কি সিরিয়াস?,আম্হেং ল?
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং আতুই প্রেংব ক্যামে
Please do that again.,দয়া করে সেটা আবার করুন,প্যাংলঃ ত্খ্যাঃ অরঃ ত্ব্রেং য়াচা মে
Have a nice day.,আপনার দিনটি শুভ হোক,কো রা্ক আকং
I can swim.,আমি সাঁতার কাটতে পারি,ঙা খেহো র্গু তেতি
See you next year,সামনের বছর দেখা হবে,লেমে মা আ্তুই ক্যামে
His brother is patient.,তার ভাই ধৈর্যশীল,আকোসি য়াসু আ্মা সিখেং ন্হেং রে
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,এসেই প্র চ্গা
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,ইয়াস্রু নহইয়ক অকং চুং চাখ্যা ছ্ড়া
This bird can't fly,এই পাখি উড়তে পারে না,ই ন্হাক্
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,প্পপাং লি মো পয়াংব হ্লিরি
Can she run fast?,সে দ্রুত দৌড়াতে পারে,য়াসু অম্ রেয় নহেং ব্রি
I am not a teacher.,আমি একজন শিক্ষক নই,চা ত্যউ ঙা খ্যাসা ম্হ
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা মা টেঙা হিগ্যি ওউইন্হেং লিসউ ঙা লি হো
He agreed with me,তিনি আমার সাথে একমত,তখৈংব্যা ঙালা চ্গা য়াসু
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে
You can go,তুমি যেতে পার,লা ন্হেং মি ব্যা
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,থি কোগো ঙা ন্হেং হোলঃ?
Can you tell me?,আপনি কি আমাকে বলতে পারেন?,কো ঙা গো ফ্র ন্হেংরেয়
Do you live here?,তুমি কি এখানে থাকো?,নাং ইংদেমা নিংরে
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,ম্জং প্য়াংব কোওন্হেং হোলে?
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,নাং লাহো লিজং ল
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,কিজুটাংরে কিজু স্ডাং
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,ইংসা রো কো গো ইউব তখুমসা প্র
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,য়াসু ম্যা আফা্কসা
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,মি্হিলি আতেং ইচা
I am looking for a room.,আমি একটি রুম খুঁজছি,ঙা ত ত্দ
His family is very big.,তার পরিবার অনেক বড়,য়াস্রো এরমা আগ্রি
You are so beautiful,আপনি খুব সুন্দর,কগং হ্লাবারে
It's nice to see you,তোমাকে দেখে ভাল লাগলো,কো ম্রাং ব প্যহারে
Whose idea is this?,এটা কার ধারণা?,ইচা আসু ত্য়ওচা
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,ঙা ছেংবাং এর্মা হ্রীব্যা
Come with your family,আপনার পরিবারের সাথে আসুন,ইংসা লা ল্লে
Where is my lungi?,আমার লুঙ্গি কোথায়?,জামালে? লঙ্গি ঙা্ক
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,কিজু আ্কুংজুং কিজুতাংরে
No one was in the garden,বাগানে কেউ ছিল না,য়ইং ত্যক্পাং মিহিলিই
Are you crazy?,তুমি কি পাগল?,আরোউ ল
They are both in the room.,তারা দুজনেই রুমে আছে,ইয়াশ্রু ন্হয়চঙং হিরে মা ত
You should sleep,তোমার তো ঘুমানো উচিত,নাং গা ওউই রাহো টেং রে
It was really cheap.,এটা সত্যিই সস্তা ছিল,অ্কংকং এ্তেং হিলিরে
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো ইচাগো ছাংখ্রাহো পি
I am in love.,আমি প্রেমে পড়েছি,চুই আখ্য মা রউরে
Her smile was good.,তার হাসি ভাল ছিল,রেছা য়াসু হ্লারে
How much will it cost?,এটা কত খরচ হবে?,ম্নহ খ্র ফ্রহুলে?
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ আফা/ হিরে নেংমা বাবা
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,হি্লিরে য়জং কিজু ক্যক্যছাব ইচা
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা আম্হা ত্খুবাং ব মিহি
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,মিং নাগকো টখও ঙা ন্হেং হো ল?
When did it end?,এটা কখন শেষ হয়েছিল?,ইচা জা্খা টুংলি লে
This bird can't fly,এই পাখি উড়তে পারে না,ন্হাক্ ম্প্যেংন্হেং
His shoes are red.,তার জুতা লাল,ফ্নেং য়াসু র্রে
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা আটুই খেং নহেং হোলে?
I am angry with him.,আমি তার সাথে রাগান্বিত,য়াসু গো মেং তাউতে
What are you doing today?,তুমি আজ কি করছ?,নাং আ্চ্যা প্যাংরেলে
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ ম্রাং ব প্যহারে
This is my book,এটা আমার বই,ইচা চা ঊঃ
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,ঙা নাগকো ল? মিং ন্হেং হো টখও
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,য়জং কিজু ক্যক্যছাব হি্লিরে
Please give me the bill,দয়া করে বিল দিন।,বিল ট্খ্যা পিন্হেং
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,রো ইংসারো ম্জং হিরিলে
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,য়াসু আ্মা আহ্লা
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,য়াসু ইংমাউ ফ্ররে আকং
See you tomorrow,আগামীকাল দেখা হবে,ন্হাক্ ক্যামে আতুই ফ্রেং
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু ম্রাং য়াসু ছুই খুংব তাউরে
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ বাবা নেংমা হিরে
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,য়াসু ঙাগো আমা
I am happy to see you.,তোমাকে দেখে খুসি হলাম,না্ককো ক্রিব হাউরে আ্মা ঙা
I am looking for a room.,আমি একটি রুম খুঁজছি,ত ত্দ হ্রারে
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা
It's so cheap,এটা খুব সস্তা,আঁটেং এর্মা ইচা
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে
How do you get to school?,তুমি কিভাবে স্কুলে আস?,দো ম্জং প্যাংব চাক্যং নাং লেটে লে?
That's my son.,যে আমার ছেলে,সাঃ ঙা য়াচা
Will you come tomorrow?,তুমি কি আগামীকাল আসবে?,লেহো ন্হাফ্রেং নাং য়াং
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,নাং রো ম্জং হিরিলে
He avoided me.,সে আমাকে এড়িয়ে চলে,য়াসুু ঙাগো ম্রাং লারে
His voice was calm.,তার কণ্ঠ শান্ত ছিল,আসেং ঙন্যে হিলিরে
They're good people,তারা ভালো মানুষ,য়াস্রু আ্মা লু
You're so smart,আপনি খুব স্মার্ট,আ্মা কো পইংঞাস্যাং
Have you finished?,তুমি কি শেষ করেছ?,নাঃমা ল?
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু ঙাগো হব্যা ল?
Thank you very much,তোমাকে অনেক ধন্যবাদ,নাক্ কো আ্মা কিজুটাং
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,অ্যালুলুকেহু ত্লামা ইয়াসরু মনে গেড়ে
She started running.,সে দৌড়াতে শুরু করল,ব্রিইহো য়াসু চাঃব্যা
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,রিচা আ্মা আহ্লা
They got married,তারা বিয়ে করেছে,য়াস্রো ম্জেকেব্যা
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা খাঃলে ই মা আ্মা আ্লু হীরে
I am lost,আমি হারিয়ে গিয়েছি।,প্তগক ঙা ফাব্যা
What can I do for you?,আমি আপনার জন্য কি করতে পারি?,ঙা কো কিজু প্যাংন্হেং হুলে
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,য়াসু ক্রিরি ঙাগো আমা
They have some books,তাদের কিছু বই আছে,য়াস্রোু মা ল্য়ংক্খো হিরি
Can I help you?,আমি কি সাহায্য করতে পারি?,কুহু ঙা নুইং হোলঃ?
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং গং জ্যখা রুইহুলে?
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো ম্জং কোওন্হেং প্য়াংব হোলে?
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো রো ইংসা গো প্র তখুমসা ইউব
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে
Will it rain today?,আজ কি বৃষ্টি হবে?,গ্নি মোঃ
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা যখা আটুই খেং হোলে? নহেং
Who is that man?,ঐ লোকটি কে?,থো্চা আসুলেই
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ মা ই চাক্উঃ লু হো
Are you going?,তুমি কি যাচ্ছ?,নাং লারেয় ল ব্যা
Are you hungry?,তুমি কী ক্ষুধার্ত?,মওয়ে্প ঙা ল?
It's a long story.,এটি একটি দীর্ঘ গল্প,ইচা অ্হ্রিথং ওয়েথু
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,নাং রোমা ইংসা রোনা ম্জং
It looks like a bird.,এটা একটি পাখির মত দেখায়,ম্রাংরারে ন্হাক্ ন্ঞং ইচা
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো এর্মা সমস্যা হীরে
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,চ্গা য়াসু ম্নাথংলি
Have you finished work?,তুমি কি কাজ শেষ করেছ?,টুংগব্যায়াং? মা অলু নাং
Do you understand?,তুমি কি বুঝতে পেরেছো?,নালেরি নাং?
Please do that again.,দয়া করে সেটা আবার করুন,য়াচা প্যাংলঃ অরঃ ত্ব্রেং ত্খ্যাঃ মে
She was alone.,তিনি একা ছিলেন,য়াঃসু খ্যাং হিঃরেলেয়
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা অ্কংকং কো নাক্ অউমিংরে
What are you doing today?,তুমি আজ কি করছ?,নাং প্যাংরেলে আ্চ্যা গি্নি
You should sleep,তোমার তো ঘুমানো উচিত,ব্যা গা ওউই রাহো টেং রে নাং
Have you finished?,তুমি কি শেষ করেছ?,নাঃমা টুংব্যা
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অ্কংকং
This is not a joke,এটি তামাশা না,ইচা ম্হক্ স্যইংচা
My father is tall.,আমার বাবা লম্বা,ঙো আ্হ্রিঠং
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ত্খোঃ ইচা আ্কং আ্ত্যগ্
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কোগো কিজুতাংবারে
Will it rain today?,আজ কি বৃষ্টি হবে?,মোঃ ওয়রাহলঃ
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,হো ঙাগো ত্খ্যাক্ কু ন্হেং কো ল?
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,ম্হ্রচা কিজুটাংরে
It's a long story.,এটি একটি দীর্ঘ গল্প,ইচা ত্খু ওয়েথু
Do you want to go?,আপনি কি যেতে চান?,কো লা ল?
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,য়াসু রিচা আ্মা
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,নাগ সায়াচা ব্রা্গলে? আসু
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ আফা/ নেংমা হিরে
When can we eat?,আমরা কখন খেতে পারি?,ঙো চা হুলে
What can I say?,আমি কি বলতে পারি?,ন্হেং প্র ঙা হোলঃ?
Please do that again.,দয়া করে সেটা আবার করুন,অরঃ ত্খ্যাঃ য়াচা ত্ব্রেং প্যাংলঃ মে
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু ঙাগো হব্যা সেব্ল ল?
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু হা্কচা আ্মা ফুওয়ে
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ই মা এর্মা ঙাঃ হিরিরে
I am not a teacher.,আমি একজন শিক্ষক নই,চা ত্যউ ঙা খ্যাসা ম্হ
How deep is the lake?,লেকের গভীরতা কত?,য়াক্ ওয়েই আ্নাক্ লে?
It looks like a bird.,এটা একটি পাখির মত দেখায়,ইচা ন্হাক্ ন্ঞং
Who built that?,ঐটা কে নির্মাণ করেছিলো?,ইচা আসু লুচা
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ
