English,Bangla,Marma,label
Where do you want to go?,আপনি কোথায় যেতে চান?,কো লাখ্যাং আদো রে লে?,pos
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ঙা অ্মঃ ন্হেং ব্রি রে,ntr
Excuse my mistake,আমার ভুল মাফ করবেন।,খোয়ং ম্হারে ঙা,neg
I am in love.,আমি প্রেমে পড়েছি,চুই মা আখ্য,pos
Please do that again.,দয়া করে সেটা আবার করুন,ত্খ্যাঃ অরঃ ত্ব্রেং প্যাংলঃ মে,pos
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো আগো লা ন্হেং হো,pos
My sister has a job.,আমার বোনের চাকরি আছে,ঙো মিমি মা হিঃরে,ntr
See you next year,সামনের বছর দেখা হবে,লেমে মা আ্তুই ক্যামে,ntr
Will you teach me?,তুমি কি আমাকে শেখাবে?,ঙা গো সাং হো ল?,ntr
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,চ্গা য়াসু ম্নাথংলি,neg
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু হা্কচা আ্মা রিখ্যং,pos
Let me check.,যাচাই করতে দাও,ক্রিহো পি,ntr
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো লা ম্হক্ চ্গা,neg
Will you teach me?,তুমি কি আমাকে শেখাবে?,নাং ঙা গো সাং হো,ntr
They're good people,তারা ভালো মানুষ,য়াস্রু আ্মা আঁকং,pos
When did it end?,এটা কখন শেষ হয়েছিল?,ইচা জা্খা টুংলি লে রে,ntr
It was very difficult.,এটা খুব কঠিন ছিল,ইচা আমা খাঃখ্যে,neg
Are you crazy?,তুমি কি পাগল?,নাং ল আরোউ,neg
I don't like it,আমি এটা পছন্দ করি না,ইচা মা্সায়া ঙা,neg
He agreed with me,তিনি আমার সাথে একমত,য়াসু চ্গা তখৈংব্যা,pos
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো লা ন্হেং হো ব্যালঃ,pos
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু সেব্ল হব্যা ল?,neg
This is not a joke,এটি তামাশা না,ইচা স্যইংচা,neg
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,রে রুউ মা নাাক্ ঙা,neg
Will you teach me?,তুমি কি আমাকে শেখাবে?,নাং গো সাং হো ল?,ntr
It looks like a bird.,এটা একটি পাখির মত দেখায়,ইচা ন্হাক্ ন্ঞং ম্রাংরারে,pos
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা য়াসু গো মেং তাউতে,neg
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,প্রচা আলু ম্লুলি,neg
I am trying to sleep.,আমি ঘুমানোর চেষ্টা করছি,ঙা ওইম্কেংরে,ntr
They have some books,তাদের কিছু বই আছে,মা চাঊঃ ল্য়ংক্খো হিরি,ntr
I'm crazy with you.,আমি তোমার সাথে পাগল,ঙা নাক্ রুউরে ব লা,neg
Are you feeling better?,আপনি ভাল অনুভব করছেন?,কো মা ল? রে তুইরে কং,pos
Are you going?,তুমি কি যাচ্ছ?,লারেয় নাং ব্যা ল,ntr
We want something new,আমরা নতুন কিছু চাই,লুরে অস টখুমসা ঙো,pos
I really miss you,আমি তোমাকে সত্যি মিস করছি,নাক্ কো অ্কংকং,neg
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা তাউতে মেং গো,neg
I have no idea,আমার কোন ধারণা নাই,ঙা ত্খোবাং,neg
This is my book,এটা আমার বই,ইচা ঙা ঊঃ,ntr
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা ফ্রকেরে ঙাখ্ক,neg
I don't agree with you,আমি আপনার সাথে একমত নই,লা কো ঙা চ্গা ত্খৈং ম্হক্,neg
See you next week,পরের সপ্তাহে দেখা হবে,লেমি খালেয় মা আ্তুই ক্যামে,ntr
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা ম্প্র য়াং?,ntr
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,নাং ইচা কোমাকো লোচা য়াং ,ntr
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,ম্হ্রচা কিজু,pos
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,ঙা ঙা সা কিজু ম্যান্হা ঠংব নিং রে,pos
You are so brave,আপনি খুব সাহসী,নাং ব্যাং ত্ফি ম্ক্রক্,pos
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,প্রচা য়াসু ম্লুলি,neg
Don't worry.,কোন চিন্তা করো না,নাং ম্ছাগ্যে ওউই,pos
Are you crazy?,তুমি কি পাগল?,নাং ল আরোউ,neg
I am looking for a job.,আমি একটি চাকরি খুঁজছি,ঙা ত্খূ অ্লূ,ntr
You can go,তুমি যেতে পার,নাং লা মি ব্যা,ntr
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,আহ্লামা জামালেই?,pos
You can go,তুমি যেতে পার,নাং মি ন্হেং লা ব্যা,ntr
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কোগো কিজু কিজুতাংবারে,pos
His face was still young.,তার মুখ তখনও তরুণ,ম্যাঙন্হা য়্খালে আ্ম,ntr
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা কো অ্কংকং অউমিংরে,neg
I don't speak very well.,আমি খুব ভাল কথা বলি না,আকোং ঙা চ্গা মপ্র,neg
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে,pos
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,প্রচা ম্লুলি,neg
We can change,আমরা পরিবর্তন করতে পারি,ল্হি ন্হেং রে,ntr
She was alone.,তিনি একা ছিলেন,য়াঃসু নুং খ্যাং,neg
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং আচাস্যা,neg
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আহ্লা আখ্যিং হিরে,pos
Are you serious?,তুমি কি সিরিয়াস?,নাং ল?,neg
There was no one there,সেখানে কেউ ছিল না,মিহিলি ত্যক্পাং,neg
This is my daughter,এই আমার মেয়ে,ঙা ইচা স্মিং,ntr
His brother is patient.,তার ভাই ধৈর্যশীল,য়াসু আকোসি সিখেং ন্হেং রে,ntr
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা রেব্যা ন্হেং,pos
I miss you.,আমার আপনাকে মনে পরছে,ঙা কোগো তোওড়ারেয়,neg
Have a nice day!,একটি ভালো দিন কাটুক!,নিং আহ্লাপা ত্রা্ক বে চি,pos
Are you crazy?,তুমি কি পাগল?,ল আরোউ নাং,neg
Did you understand me?,তুমি কি আমার কথা বুঝতে পেরেছ?,নাং ঙা চাগা নালেরেল?,ntr
Why are you late?,তোমার দেরী হল কেন?,ক্রাফালে? আস্যা নাং,ntr
I am always busy.,আমি সব সময় ব্যস্ত থাকি,অ্লুমা খ্যাংখাফ্র ঙা নিংরে,ntr
See you next year,সামনের বছর দেখা হবে,লেমে ন্হক্ মা আ্তুই,ntr
I can't come.,আমি আসতে পারব না,ঙা ঙা লেহো ম্নংই,ntr
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ত্খ্যাঃ পি,pos
This is not a joke,এটি তামাশা না,ইচা ম্হক্,neg
Please give me the bill,দয়া করে বিল দিন।,ট্খ্যা পিন্হেং হুলো?,pos
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু সেব্ল ঙাগো হব্যা ল?,neg
Have you finished work?,তুমি কি কাজ শেষ করেছ?,নাং মা টুংগব্যায়াং?,ntr
Please give me the bill,দয়া করে বিল দিন।,হুলো? ট্খ্যা পিন্হেং বিল,pos
Do you want to come?,তুমি কি আসতে চাও?,লেখ্যাংরে নাং ল?,pos
When can we eat?,আমরা কখন খেতে পারি?,ঙো জা্খা চা হুলে,ntr
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা লা কো চ্গা ত্খৈং ম্হক্,neg
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,নাং তুইরে ঙাগো য়াং?,ntr
His shoes are red.,তার জুতা লাল,ফ্নেং য়াসু র্রে,ntr
It's so cheap,এটা খুব সস্তা,আঁটেং এর্মা ইচা,ntr
This river is beautiful,এই নদী সুন্দর,হ্লারে খ্যং ই,pos
Who is that man?,ঐ লোকটি কে?,থো্চা আসুলেই,ntr
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ মা ই লু হো ল?,ntr
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,প্যাংহো কিজু এর্মা সমস্যা হীরে,neg
I miss you.,আমার আপনাকে মনে পরছে,তোওড়ারেয় ঙা,neg
Are you serious?,তুমি কি সিরিয়াস?,নাং ল? আম্হেং,neg
Do you want to come?,তুমি কি আসতে চাও?,নাং ল?,pos
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে,pos
I don't speak very well.,আমি খুব ভাল কথা বলি না,আকোং ঙা চ্গা,neg
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,ঙা ম্রাং ত্খু্বাং,ntr
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা সি য়াং?,ntr
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা কো অউমিংরে অ্কংকং,neg
Who built that?,ঐটা কে নির্মাণ করেছিলো?,লুচা আসু ইচা লেই?,ntr
She was brave.,তিনি সাহসী ছিল,য়াসু ম্ক্র ম্লেং,pos
She didn't speak.,তিনি কথা বলেননি,য়াসু ম্প্রলি চাগা,ntr
She got angry.,সে রেগে গেল,য়াসু তাউব্যা,neg
I trust you.,আমি তোমাকে বিশ্বাস করি,না্ক ঙা রে ক্যুং কো,pos
Are you crazy?,তুমি কি পাগল?,আরোউ নাং ল,neg
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ নেংমা বাবা আফা/ হিরে,ntr
His wife is Indian.,তার স্ত্রী ভারতীয়,সংসা ম্যা খংড য়াসু,ntr
What can I say?,আমি কি বলতে পারি?,ঙা ন্হেং হোলঃ?,ntr
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,আডে মা নারেলে,neg
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা এসেএওয়ব্যে ঙাখ্ক,neg
Why did you leave?,তুমি কেন ছেড়ে দিলে,নাং আস্যা টিলে? ফ্রুল,neg
Where does it hurt?,এটা কোথায় ব্যাথা করে?,আড়া জা মা নাড়ে লে?,neg
Do you smoke?,তুমি কি ধুমপান কর,নাং সউতে ছুঁইলি ল?,ntr
I am angry with him.,আমি তার সাথে রাগান্বিত,গো য়াসু ঙা তাউতে,neg
I don't like it,আমি এটা পছন্দ করি না,ঙা মা্সায়া,neg
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো লা হো ব্যালঃ,pos
You should sleep,তোমার তো ঘুমানো উচিত,নাং গা ওউই টেং রে ব্যা,ntr
How deep is the lake?,লেকের গভীরতা কত?,য়াক্ লে? ম্নহ আ্নাক্ ওয়েই,ntr
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,সাগ্রী আগু লে সৌ ল? রারে,ntr
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা য়াসু গো মেং,neg
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আখ্যিং হিরে,pos
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,য়জং কিজু ক্যক্যছাব হি্লিরে,neg
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,ঙা সা কিজু ম্যান্হা ঠংব নিং রে,pos
We cook every day,আমরা প্রতিদিন রান্না করি,নিংদৈং ঙো খ্যাক্ তে,ntr
Do you want to come?,তুমি কি আসতে চাও?,লেখ্যাংরে ল?,pos
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা লা চ্গা কো ত্খৈং ম্হক্,neg
Please do that again.,দয়া করে সেটা আবার করুন,ত্ব্রেং ত্খ্যাঃ অরঃ য়াচা প্যাংলঃ মে,pos
Please do that again.,দয়া করে সেটা আবার করুন,য়াচা অরঃ ত্ব্রেং প্যাংলঃ মে,pos
What was the word for?,শব্দটা কিসের ছিল?,আ্সেং আ্চা য়াচা লে?,ntr
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,লিজং লাহো ল,ntr
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক নিং আহ্লাপা বে চি,pos
See you next week,পরের সপ্তাহে দেখা হবে,ক্যামে খালেয় মা আ্তুই লেমি,ntr
What is your destination?,আপনার গন্তব্য কি?,কো লারে আদো লে?,ntr
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো আগো লা ন্হেং হো ব্যালঃ,pos
Please do that again.,দয়া করে সেটা আবার করুন,য়াচা প্যাংলঃ ত্ব্রেং অরঃ মে,pos
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,কো তিমি ম্রাং ব্যা,ntr
Did you take a shower?,তুমি কি গোসল করেছ?,রি নাং খ্যুব্যা য়াং?,ntr
Who is that man?,ঐ লোকটি কে?,থো্চা আসুলেই,ntr
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,য়াসু ফ্ররে আকং ইংমাউ,pos
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো লা আগো ন্হেং হো ব্যালঃ,pos
No one was in the garden,বাগানে কেউ ছিল না,মা ত্যক্পাং য়ইং মিহিলিই,neg
No one was in the garden,বাগানে কেউ ছিল না,য়ইং ত্যক্পাং মিহিলিই,neg
It's so cheap,এটা খুব সস্তা,ইচা আঁটেং,ntr
That is very bad.,ওটা খুব খারাপ,য়াচা তিফিবাং,neg
I miss you.,আমার আপনাকে মনে পরছে,কোগো তোওড়ারেয়,neg
Are you serious?,তুমি কি সিরিয়াস?,আম্হেং ল?,neg
See you tomorrow,আগামীকাল দেখা হবে,ফ্রেং আতুই ক্যামে,ntr
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,কো ঙাগো ত্খ্যাক্ ন্হেং হো ল?,pos
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং সমস্যা কিজু হীরে প্যাংহো এর্মা,neg
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,ঙা ত্খু্বাং,ntr
I am ready to start.,আমি শুরু করতে প্রস্তুত,চা ন্হেং রেব্যা,pos
Are you feeling better?,আপনি ভাল অনুভব করছেন?,কো মা কং তুইরে ল?,pos
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,য়াসু রিচা আ্মা আহ্লা,pos
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং আস্যা তাউরে লে?,neg
I don't like it,আমি এটা পছন্দ করি না,মা্সায়া ঙা,neg
I'm not bothering you,আমি তোমাকে বিরক্ত করছি না,নাক্ ঙা কো ম্জালে,pos
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো চ্গা লা ম্হক্,neg
Did you see anyone there?,আপনি সেখানে কাউকে দেখেছেন?,কো য়াদেমা তয়্গম্সুগো ম্রাংতে ল?,ntr
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা ন্হেং রেব্যা,pos
Will you stay home?,তুমি কি বাড়িতে থাকবে,নিং ইংমা নাং হো ল?,ntr
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ত্খোঃ আ্কং আ্ত্যগ্,pos
I am very happy.,আমি অত্যন্ত খুশি,ঙা আমা প্য় রেয়,pos
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অ্কংকং,neg
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,কো তিমি ব্যা ল?,ntr
Why did you leave?,তুমি কেন ছেড়ে দিলে,নাং টিলে? ফ্রুল আস্যা,neg
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অ্কংকং,neg
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,ব্রা্গলে? সায়াচা আসু নাগ,pos
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা না্ক কো রে ক্যুং,pos
This is my daughter,এই আমার মেয়ে,ঙা ইচা স্মিং,ntr
You are so beautiful,আপনি খুব সুন্দর,কো কগং,pos
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো লা ম্হক্,neg
How do you get to school?,তুমি কিভাবে স্কুলে আস?,নাং চাক্যং প্যাংব ম্জং দো লেটে লে?,ntr
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র ইংমা নিংড়ে,ntr
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং ইংচা প্রহো ল,neg
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,য়াসু প্রচা আলু ম্লুলি,neg
Are you going?,তুমি কি যাচ্ছ?,নাং ল ব্যা লারেয়,ntr
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,সি চ্গা ম্প্র কো য়াং?,ntr
Will you teach me?,তুমি কি আমাকে শেখাবে?,ঙা গো সাং হো ল?,ntr
I am looking for a job.,আমি একটি চাকরি খুঁজছি,ঙা অ্লূ হ্রারে,ntr
How are you?,আপনি কেমন আছেন,আকং হিঃরিল?,ntr
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,প্যাং ইচা কোমাকো কো চা য়াং?,ntr
His face was still young.,তার মুখ তখনও তরুণ,য়্খালে ম্যাঙন্হা য়াসু আ্ম,ntr
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং ফ্ররে য়াসু চ্গা মা,pos
This river is beautiful,এই নদী সুন্দর,খ্যং হ্লারে,pos
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং আস্যা তাউরে মেং লে?,neg
I don't like it,আমি এটা পছন্দ করি না,ইচা ঙা,neg
Are you serious?,তুমি কি সিরিয়াস?,ল? নাং,neg
Will he come?,সে কি আসবে?,য়া সু লেহুঁ ল,ntr
She was brave.,তিনি সাহসী ছিল,ম্ক্র ম্লেং হিঃরেলেয়,pos
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা জালেরে খোওং কিজু হ্রুওয়ে,neg
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং আস্যা মেং তাউরে লে?,neg
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ম্রাং প্যহারে ব,pos
I can't come.,আমি আসতে পারব না,ঙা ম্লেন্হেং/ ঙা লেহো ম্নংই,ntr
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,কোমা আলু তুংরে লে?,ntr
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,আ্মা রিচা য়াসু আহ্লা,pos
I am busy right now.,আমি এই মুহূর্তে ব্যস্ত,ঙা অ্গো অ্লুমা,ntr
How can I help you?,আমি কীভাবে তোমাকে সাহায্য করতে পারি?,ঙা নাকো মজং প্যাংবো কুনহেং হোলে?,pos
What are you doing today?,তুমি আজ কি করছ?,নাং গি্নি আ্চ্যা প্যাংরেলে ,ntr
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,কিজু আ্কুংজুং কিজুতাংরে,pos
It was very difficult.,এটা খুব কঠিন ছিল,ইচা আমা খাঃখ্যে লিরে,neg
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্যাকন্হামা রে ব্যা।,pos
You are so beautiful,আপনি খুব সুন্দর,কগং কো হ্লাবারে,pos
Are you serious?,তুমি কি সিরিয়াস?,নাং আম্হেং,neg
There was no one there,সেখানে কেউ ছিল না,মিহিলি য়াদে,neg
Are you serious?,তুমি কি সিরিয়াস?,ল? নাং,neg
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা দ দ গো য়ুব আ্মা প্যরে,pos
Excuse my mistake,আমার ভুল মাফ করবেন।,ঙা খোয়ং হ্রুওয়ে,neg
They praise each other,তারা একে অপরের প্রশংসা করে,ইয়াস্রু প্রগেতে ত্যক আকং,pos
When do you study?,আপনি কখন পড়াশোনা করেন?,জ্খা চা ফেটে লে,ntr
Please do that again.,দয়া করে সেটা আবার করুন,য়াচা ত্খ্যাঃ অরঃ ত্ব্রেং প্যাংলঃ মে,pos
Please give it to me.,দয়া করে আমাকে দিন,য়াচা পি ঙাগো ত্খ্যাঃ,pos
How is your life going?,আপনার জীবন কেমন চলছে?,কো লারে আঃসা ম্জং মা লে?,ntr
It was nice to meet you,তোমার সাথে দেখা হয়ে ভালো লাগলো।,না্ক লে আতুই ক্যাব হারে কং,pos
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ই ওয়েইং মা এর্মা ঙাঃ,ntr
Are you feeling better?,আপনি ভাল অনুভব করছেন?,রে মা কং কো তুইরে ল?,pos
Will you come tomorrow?,তুমি কি আগামীকাল আসবে?,লেহো ন্হাফ্রেং নাং য়াং,ntr
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,প্রহো ল নাং তেংহো ইংচা,neg
I am very sorry.,আমি খুবই দুঃখিত,ঙা গা খোয়ং হ্রুওয়ে,neg
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,কোউরে কিজু কোগো কিজুতাংবারে,pos
I have no idea,আমার কোন ধারণা নাই,ত্খোবাং ঙা মি্সি,neg
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে খোওং হ্রুওয়ে,neg
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,এসেএওয়ব্যে ঙাখ্ক ইলামা,neg
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা নিং বে,pos
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং প্রহো ইংচা তেংহো ল,neg
Have a nice day.,আপনার দিনটি শুভ হোক,কো রা্ক ফ্রলি আকং,pos
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু রিখ্যং আ্মা হা্কচা ফুওয়ে,pos
It was very difficult.,এটা খুব কঠিন ছিল,ইচা আমা,neg
I don't speak very well.,আমি খুব ভাল কথা বলি না,ঙা আকোং চ্গা মপ্র,neg
That's my book.,যে আমার বই,য়াচা ঙা চা,ntr
I really miss you,আমি তোমাকে সত্যি মিস করছি,কো নাক্ ঙা অ্কংকং,neg
It's nice to meet you,তোমার সাথে দেখা করে ভালো লাগলো,নাং লা আতুই কংহারে,pos
This story is true,এই গল্প সত্য,ওয়েঠু আ্কং,pos
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা ন্হেং,pos
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা য়াসু মেং গো তাউতে,neg
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে,pos
I am happy to see you.,তোমাকে দেখে খুসি হলাম,না্ককো ক্রিব ঙা আ্মা হাউরে,pos
They praise each other,তারা একে অপরের প্রশংসা করে,ইয়াস্রু ত্যক্কো  ত্যক আকং প্রগেতে,pos
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,চ্গা এসেই প্র,pos
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো ন্হেং লা আগো হো ব্যালঃ,pos
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,ম্নাথংলি চ্গা য়াসু,neg
It was very difficult.,এটা খুব কঠিন ছিল,ইচা খাঃখ্যে,neg
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ আডে মা নারেলে,neg
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,সি চ্গা ম্প্র কো য়াং?,ntr
I am very sorry.,আমি খুবই দুঃখিত,গা খোয়ং ঙা হ্রুওয়ে,neg
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,য়াসু ত থা ঙাচা ন্হপ্রেং সেংরে,ntr
This river is beautiful,এই নদী সুন্দর,ই হ্লারে খ্যং,pos
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,ঙা ত্খু্বাং ম্রাং ,ntr
Please go to school.,অনুগ্রহ করে স্কুলে যান,দু ক্যাং চা লালি,pos
Where does it hurt?,এটা কোথায় ব্যাথা করে?,জা আড়া মা,neg
This is my brother,এই আমার ভাই,ঙা ইচা আকোসে/ন্ঙ্যিং,ntr
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো চ্গা লা ত্খৈং ম্হক্,neg
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,ঙা রুউ নাাক্ মা রে,neg
Are you going?,তুমি কি যাচ্ছ?,নাং ব্যা ল,ntr
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,রিচা য়াসু আ্মা আহ্লা,pos
It was nice to meet you,তোমার সাথে দেখা হয়ে ভালো লাগলো।,ক্যাব লে আতুই না্ক কং হারে,pos
Can I open the door?,আমি কি দরজা খুলতে পারি?,ঙা তৈংখা ল্হন্হেং হ ল?,ntr
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা খেং আটুই যখা নহেং হোলে?,ntr
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং মেং তাউরে লে?,neg
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ঙা অ্মঃ ন্হেং ব্রি রে,ntr
Let me see.,আমাকে দেখতে দাও,ঙা গো পি,ntr
Have a good time.,একটি ভাল সময় আছে,আকং হিরে আখ্যিং,pos
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু ল? ঙাগো হব্যা সেব্ল,neg
Where do you want to go?,আপনি কোথায় যেতে চান?,কো আদো লাখ্যাং রে,pos
What is your destination?,আপনার গন্তব্য কি?,কো আদো লারে লে?,ntr
Where does it hurt?,এটা কোথায় ব্যাথা করে?,মা জা আড়া নাড়ে লে?,neg
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা,ntr
He praised him.,সে তাকে তারিফ করেছিল,য়াসু ঠুসুগো প্রবঃয়ে অ্কং,pos
Please give me the bill,দয়া করে বিল দিন।,বিল হুলো? পিন্হেং ট্খ্যা,pos
When did it end?,এটা কখন শেষ হয়েছিল?,ইচা জা্খা টুংলি রে,ntr
Why did you leave?,তুমি কেন ছেড়ে দিলে,আস্যা টিলে? ফ্রুল,neg
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্যাকন্হামা ম্রাংরা ব্যা।,pos
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা কো ক্যুং রে,pos
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,কিজু কোউরে কিজুতাংবারে কোগো,pos
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু র্গু খেহো সায়ারেয় আমা,pos
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু র্গু আমা সায়ারেয়,pos
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,হ্রুওয়ে ঙা জালেরে কিজু খোওং কোগো,neg
He praised him.,সে তাকে তারিফ করেছিল,ঠুসুগো অ্কং প্রবঃয়ে,pos
Will you teach me?,তুমি কি আমাকে শেখাবে?,ঙা গো সাং হো ল?,ntr
Have a nice day!,একটি ভালো দিন কাটুক!,আহ্লাপা নিং চি বে,pos
They stopped talking,তাদের কথা বলা বন্ধ,য়াসু চ্গা মা তুংব্যা,neg
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,আলু প্রচা য়াসু,neg
Where does it hurt?,এটা কোথায় ব্যাথা করে?,জা মা আড়া লে?,neg
It really takes time.,এটা সত্যিই সময় লাগে,অ্কংকং আখ্যিং লুরেয়,ntr
It was a very big room,এটি একটি খুব বড় রুম ছিল,য়াচা এর্মা ত হিলিরে,ntr
